FID,changerate,geom,id
coastal_migration_satellite_0_40k.1526,-8.3236849,POINT (45.8738099473 -1.2650276784),1526
coastal_migration_satellite_0_40k.1527,-8.95234504,POINT (45.8711236064 -1.2627368321999999),1527
coastal_migration_satellite_0_40k.1528,-7.20033242,POINT (45.8683623578 -1.2606278286),1528
coastal_migration_satellite_0_40k.1529,-8.37223929,POINT (45.8654013087 -1.2591861317),1529
coastal_migration_satellite_0_40k.1530,-10.99279931,POINT (45.8624353151 -1.2577602877),1530
coastal_migration_satellite_0_40k.1531,-11.44322874,POINT (45.8594230038 -1.2565743078),1531
coastal_migration_satellite_0_40k.1532,-12.54304604,POINT (45.8563678305 -1.2556100045),1532
coastal_migration_satellite_0_40k.1533,-14.12772595,POINT (45.8533124893 -1.2546457012),1533
coastal_migration_satellite_0_40k.1534,-13.90520189,POINT (45.8502569803 -1.2536813978999999),1534
coastal_migration_satellite_0_40k.1535,-12.55831899,POINT (45.8471914823 -1.2527930938),1535
coastal_migration_satellite_0_40k.1536,-12.82915522,POINT (45.8440981802 -1.2521183866),1536
coastal_migration_satellite_0_40k.1537,-12.49028764,POINT (45.8410047061 -1.2514436794),1537
coastal_migration_satellite_0_40k.1538,-11.89744032,POINT (45.83791106 -1.2507689722),1538
coastal_migration_satellite_0_40k.1539,-10.49200345,POINT (45.8348172419 -1.250094265),1539
coastal_migration_satellite_0_40k.1540,-11.18941354,POINT (45.8317232517 -1.2494195578),1540
coastal_migration_satellite_0_40k.1541,-10.33595947,POINT (45.8286290896 -1.2487448506),1541
coastal_migration_satellite_0_40k.1542,-9.15162996,POINT (45.8255347554 -1.2480701435000001),1542
coastal_migration_satellite_0_40k.1543,-9.88717177,POINT (45.8224402493 -1.2473954363),1543
coastal_migration_satellite_0_40k.1544,-10.4561062,POINT (45.8193698777 -1.2465347332),1544
coastal_migration_satellite_0_40k.1545,-11.52902975,POINT (45.8163150083 -1.2455542294),1545
coastal_migration_satellite_0_40k.1546,-11.82717738,POINT (45.8132599712 -1.2445737257),1546
coastal_migration_satellite_0_40k.1547,-0.943856,POINT (45.8107751983 -1.2207773735),1547
coastal_migration_satellite_0_40k.1548,0.73263505,POINT (45.8132019535 -1.2179396904),1548
coastal_migration_satellite_0_40k.1549,-0.19538561,POINT (45.815628603 -1.2151020073),1549
coastal_migration_satellite_0_40k.1550,0.37937612,POINT (45.8180551467 -1.2122643241),1550
coastal_migration_satellite_0_40k.1551,-0.66645465,POINT (45.8204815847 -1.209426641),1551
coastal_migration_satellite_0_40k.1552,-0.01954051,POINT (45.8229079169 -1.2065889579),1552
coastal_migration_satellite_0_40k.1553,-0.22074876,POINT (45.8253634901 -1.2038077328),1553
coastal_migration_satellite_0_40k.1554,-12.35630969,POINT (45.8280007761 -1.2014065538),1554
coastal_migration_satellite_0_40k.1555,-0.37024019,POINT (45.8309400952 -1.1999634643000001),1555
coastal_migration_satellite_0_40k.1556,-0.25839778,POINT (45.8340502513 -1.1999233602000001),1556
coastal_migration_satellite_0_40k.1557,-0.93986222,POINT (45.837090041 -1.2009789006),1557
coastal_migration_satellite_0_40k.1558,-0.43923482,POINT (45.8401264492 -1.2020645956),1558
coastal_migration_satellite_0_40k.1559,-1.54491932,POINT (45.8431626917 -1.2031502907),1559
coastal_migration_satellite_0_40k.1560,-0.39586011,POINT (45.8461987685 -1.2042359857),1560
coastal_migration_satellite_0_40k.1561,-0.75726824,POINT (45.8492990716 -1.2048244417),1561
coastal_migration_satellite_0_40k.1562,-4.55749187,POINT (45.852406103 -1.2047800683),1562
coastal_migration_satellite_0_40k.1563,-1.2793078,POINT (45.8554169354 -1.2035605986),1563
coastal_migration_satellite_0_40k.1564,3.83956892,POINT (45.8583150583 -1.2018762504),1564
coastal_migration_satellite_0_40k.1565,1.00984443,POINT (45.8612033769 -1.200151911),1565
coastal_migration_satellite_0_40k.1566,0.27717689,POINT (45.8640915454 -1.1984275715),1566
coastal_migration_satellite_0_40k.1567,-1.92329232,POINT (45.8670099459 -1.1968227249),1567
coastal_migration_satellite_0_40k.1568,-2.43227035,POINT (45.8699924107 -1.1954707052),1568
coastal_migration_satellite_0_40k.1569,-0.54737213,POINT (45.8729747155 -1.1941186854),1569
coastal_migration_satellite_0_40k.1570,-0.29120168,POINT (45.8760500509 -1.1933244855),1570
coastal_migration_satellite_0_40k.1571,-2.93231879,POINT (45.8791345114 -1.1925860749),1571
coastal_migration_satellite_0_40k.1572,-3.4643547,POINT (45.8822538019 -1.1926581802),1572
coastal_migration_satellite_0_40k.1573,-0.52024158,POINT (45.8853670596 -1.1929356108),1573
coastal_migration_satellite_0_40k.1574,0.24072784,POINT (45.8883632702 -1.1942186596),1574
coastal_migration_satellite_0_40k.1575,-0.80586109,POINT (45.891259506 -1.1958349678),1575
coastal_migration_satellite_0_40k.1576,-2.19857151,POINT (45.8939684004 -1.1980768711),1576
coastal_migration_satellite_0_40k.1577,-11.36790669,POINT (45.8965295061 -1.2006230797),1577
coastal_migration_satellite_0_40k.1578,-11.41298825,POINT (45.8989308685 -1.2034985168),1578
coastal_migration_satellite_0_40k.1579,0.08791596,POINT (45.9012596124 -1.2064863588999999),1579
coastal_migration_satellite_0_40k.1580,14.98338178,POINT (45.9034375655 -1.2097079757),1580
coastal_migration_satellite_0_40k.1581,-2.06362033,POINT (45.9056154331 -1.2129295924),1581
coastal_migration_satellite_0_40k.1582,-18.00876058,POINT (45.9077932153 -1.2161512092),1582
coastal_migration_satellite_0_40k.1583,-9.91903046,POINT (45.9100665189 -1.2192239549),1583
coastal_migration_satellite_0_40k.1584,15.9596686,POINT (45.9125068183 -1.2220238527),1584
coastal_migration_satellite_0_40k.1585,-1.88128278,POINT (45.9151314214 -1.2244617431),1585
coastal_migration_satellite_0_40k.1586,7.39645426,POINT (45.9179398007 -1.2264265347),1586
coastal_migration_satellite_0_40k.1587,-7.84232989,POINT (45.9208813563 -1.2279203216),1587
coastal_migration_satellite_0_40k.1588,-10.70878048,POINT (45.9239233761 -1.2289014445),1588
coastal_migration_satellite_0_40k.1589,-2.1448797,POINT (45.9270238753 -1.2293672625),1589
coastal_migration_satellite_0_40k.1590,-11.35967137,POINT (45.9301418408 -1.229335328),1590
coastal_migration_satellite_0_40k.1591,2.51768067,POINT (45.9332521008 -1.2289151287),1591
coastal_migration_satellite_0_40k.1592,-0.89415448,POINT (45.9363621863 -1.2284949293),1592
coastal_migration_satellite_0_40k.1593,1.05587565,POINT (45.9394696274 -1.2287094864),1593
coastal_migration_satellite_0_40k.1594,-0.91449886,POINT (45.9424636847 -1.2298414372),1594
coastal_migration_satellite_0_40k.1595,0.38079815,POINT (45.9452881763 -1.231725722),1595
coastal_migration_satellite_0_40k.1596,-1.30689193,POINT (45.9479742026 -1.2340173984),1596
coastal_migration_satellite_0_40k.1597,-0.26082476,POINT (45.9506600987 -1.2363090747),1597
coastal_migration_satellite_0_40k.1598,-1.78950756,POINT (45.9533458647 -1.238600751),1598
coastal_migration_satellite_0_40k.1599,-0.53113241,POINT (45.956345853 -1.2398085559),1599
coastal_migration_satellite_0_40k.1600,-16.36175661,POINT (45.9593999448 -1.2397729811),1600
coastal_migration_satellite_0_40k.1601,0.80792825,POINT (45.9624745937 -1.2389911582),1601
coastal_migration_satellite_0_40k.1602,-4.41098333,POINT (45.9655706474 -1.2384533775),1602
coastal_migration_satellite_0_40k.1603,-8.32370124,POINT (45.9686831277 -1.2381035391),1603
coastal_migration_satellite_0_40k.1604,-1.09974538,POINT (45.9717954331 -1.2377537007),1604
coastal_migration_satellite_0_40k.1605,-0.77450553,POINT (45.974914577 -1.2376533784000001),1605
coastal_migration_satellite_0_40k.1606,9.60177187,POINT (45.9780360018 -1.2376405637),1606
coastal_migration_satellite_0_40k.1607,4.11870256,POINT (45.9811572506 -1.237627749),1607
coastal_migration_satellite_0_40k.1608,2.26259247,POINT (45.9842385646 -1.2383183371),1608
coastal_migration_satellite_0_40k.1609,0.69872471,POINT (45.9868615878 -1.2404322475),1609
coastal_migration_satellite_0_40k.1610,-1.58376622,POINT (45.9886049773 -1.2441247187),1610
coastal_migration_satellite_0_40k.1611,-2.39141484,POINT (45.9898547277 -1.2482284233),1611
coastal_migration_satellite_0_40k.1612,-2.51850889,POINT (45.9905553867 -1.252589329),1612
coastal_migration_satellite_0_40k.1613,-2.4444918,POINT (45.9904875626 -1.2570798444),1613
coastal_migration_satellite_0_40k.1614,-3.20713501,POINT (45.990345686 -1.2615604819000001),1614
coastal_migration_satellite_0_40k.1615,-3.39910144,POINT (45.989839054 -1.2659924717),1615
coastal_migration_satellite_0_40k.1616,-3.01479883,POINT (45.9893324173 -1.2704244615),1616
coastal_migration_satellite_0_40k.1617,-3.35242519,POINT (45.988825776 -1.2748564513),1617
coastal_migration_satellite_0_40k.1618,-2.45639798,POINT (45.9884405399 -1.2793078783),1618
