"","type","Migration","name","x","y"
"112","tno:coastal_migration_satellite_0_40k",-8.37675562,225,-1.161882961,45.6741103831
"113","tno:coastal_migration_satellite_0_40k",-7.07854268,226,-1.1582920306,45.6722251496
"114","tno:coastal_migration_satellite_0_40k",-5.63941365,227,-1.1547012133,45.670339717
"115","tno:coastal_migration_satellite_0_40k",-4.536561,228,-1.151110396,45.6684542209
"116","tno:coastal_migration_satellite_0_40k",-2.7214503,229,-1.1476539459,45.6664503643
"117","tno:coastal_migration_satellite_0_40k",-0.32419923,230,-1.1442108042,45.6644346989
"118","tno:coastal_migration_satellite_0_40k",-0.26743708,231,-1.1407676625,45.6624189609
"119","tno:coastal_migration_satellite_0_40k",0.2981656,232,-1.1373245208,45.6604031503
"120","tno:coastal_migration_satellite_0_40k",0.08788972,233,-1.1338813791,45.6583872672
"121","tno:coastal_migration_satellite_0_40k",-15.44484109,236,-1.2410639463,45.8068879254
"122","tno:coastal_migration_satellite_0_40k",-19.68955613,237,-1.2381211326,45.8045225162
"123","tno:coastal_migration_satellite_0_40k",-17.84391165,238,-1.2343913301,45.8028060413
"124","tno:coastal_migration_satellite_0_40k",-7.44333623,239,-1.2300876035,45.8020493929
"125","tno:coastal_migration_satellite_0_40k",0.94901533,240,-1.2272583621,45.8041731961
"126","tno:coastal_migration_satellite_0_40k",-1.40686323,241,-1.2250568991,45.8068796876
"127","tno:coastal_migration_satellite_0_40k",30.88763354,1448,-1.1237424829,45.8611497604
"128","tno:coastal_migration_satellite_0_40k",-14.25774856,1449,-1.1281545057,45.8606572544
"129","tno:coastal_migration_satellite_0_40k",-11.5786181,1450,-1.1326272112,45.8603864616
"130","tno:coastal_migration_satellite_0_40k",-3.13104181,1451,-1.1371178426,45.8603222992
"131","tno:coastal_migration_satellite_0_40k",0.93631785,1452,-1.141608474,45.8602581369
"132","tno:coastal_migration_satellite_0_40k",-0.10616357,1453,-1.1460640807,45.8599412958
"133","tno:coastal_migration_satellite_0_40k",0.04663066,1454,-1.1503616384,45.8592121454
"134","tno:coastal_migration_satellite_0_40k",-24.08279687,1455,-1.1521225962,45.856532662
"135","tno:coastal_migration_satellite_0_40k",0.93244606,1456,-1.1549480381,45.8541293779
"136","tno:coastal_migration_satellite_0_40k",-0.46208396,1457,-1.1584088229,45.8521352428
"137","tno:coastal_migration_satellite_0_40k",1.37243824,1458,-1.1618696077,45.8501410361
"138","tno:coastal_migration_satellite_0_40k",-2.47294966,1459,-1.164093903,45.8475016884
"139","tno:coastal_migration_satellite_0_40k",-0.60670243,1460,-1.1629398271,45.844601169
"140","tno:coastal_migration_satellite_0_40k",12.92562252,1461,-1.1603137599,45.8420864542
"141","tno:coastal_migration_satellite_0_40k",7.53052533,1462,-1.1571747342,45.8398483914
"142","tno:coastal_migration_satellite_0_40k",-5.18391432,1463,-1.1545041138,45.8373362408
"143","tno:coastal_migration_satellite_0_40k",-5.07184455,1464,-1.1524198605,45.8345762058
"144","tno:coastal_migration_satellite_0_40k",-2.33449451,1465,-1.1505241805,45.8317390845
"145","tno:coastal_migration_satellite_0_40k",-2.61081061,1466,-1.1485256468,45.8289399347
"146","tno:coastal_migration_satellite_0_40k",-3.44014473,1467,-1.1462065429,45.8262595767
"147","tno:coastal_migration_satellite_0_40k",-6.26970353,1468,-1.1438874391,45.8235790897
"148","tno:coastal_migration_satellite_0_40k",-22.42509668,1469,-1.1419918394,45.8207596384
"149","tno:coastal_migration_satellite_0_40k",-11.23808634,1470,-1.1405060989,45.8178055665
"150","tno:coastal_migration_satellite_0_40k",-1.93281653,1471,-1.1390203584,45.8148513378
"151","tno:coastal_migration_satellite_0_40k",0.01395277,1472,-1.3913298397,46.0050457533
"152","tno:coastal_migration_satellite_0_40k",-0.56970138,1473,-1.389826305,46.0021098177
"153","tno:coastal_migration_satellite_0_40k",-1.22690695,1474,-1.3884993918,45.9991290008
"154","tno:coastal_migration_satellite_0_40k",-0.17813917,1475,-1.3878476853,45.99606847
"155","tno:coastal_migration_satellite_0_40k",-1.06466604,1476,-1.3877744966,45.9929548371
"156","tno:coastal_migration_satellite_0_40k",-1.78588215,1477,-1.3886175391,45.9898897029
"157","tno:coastal_migration_satellite_0_40k",-1.93055133,1478,-1.3894605816,45.986824399
"158","tno:coastal_migration_satellite_0_40k",-3.1147521,1479,-1.3903036241,45.9837589254
"159","tno:coastal_migration_satellite_0_40k",-2.88256873,1480,-1.3907385628,45.9806607033
"160","tno:coastal_migration_satellite_0_40k",-3.61036967,1481,-1.3909182817,45.9775419134
"161","tno:coastal_migration_satellite_0_40k",-0.86582321,1482,-1.3906805587,45.9744278725
"162","tno:coastal_migration_satellite_0_40k",-2.09882153,1483,-1.3903485812,45.9713147701
"163","tno:coastal_migration_satellite_0_40k",-8.07596208,1484,-1.3895767635,45.9682402166
"164","tno:coastal_migration_satellite_0_40k",-1.39062271,1485,-1.388763423,45.9651704429
"165","tno:coastal_migration_satellite_0_40k",-1.14512436,1486,-1.3875301115,45.9621682891
"166","tno:coastal_migration_satellite_0_40k",-1.97898438,1487,-1.3862431102,45.9591786826
"167","tno:coastal_migration_satellite_0_40k",-3.38795842,1488,-1.3845798977,45.9562781547
"168","tno:coastal_migration_satellite_0_40k",-0.40840033,1489,-1.3828111053,45.9534115202
"169","tno:coastal_migration_satellite_0_40k",-1.45929004,1490,-1.3806976756,45.9506560013
